No.,Source,Src Port,Destination,Dst Port,Protocol,Length,Info
108,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=16065 Win=56940 Len=0
109,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=18985 Win=54020 Len=0
110,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=21905 Win=51100 Len=0
111,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=24825 Win=48180 Len=0
112,192.168.3.205,4444,192.168.3.207,1076,TCP,8814,krb524 > dab-sti-c [ACK] Seq=26285 Ack=1 Win=14600 Len=8760
113,192.168.3.205,4444,192.168.3.207,1076,TCP,8814,krb524 > dab-sti-c [ACK] Seq=35045 Ack=1 Win=14600 Len=8760
114,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=27745 Win=45260 Len=0
115,192.168.3.205,4444,192.168.3.207,1076,TCP,13194,krb524 > dab-sti-c [ACK] Seq=43805 Ack=1 Win=14600 Len=13140
116,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=30665 Win=42340 Len=0
117,192.168.3.205,4444,192.168.3.207,1076,TCP,1514,"krb524 > dab-sti-c [PSH, ACK] Seq=56945 Ack=1 Win=14600 Len=1460"
118,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=33585 Win=39420 Len=0
119,192.168.3.205,4444,192.168.3.207,1076,TCP,7354,krb524 > dab-sti-c [ACK] Seq=58405 Ack=1 Win=14600 Len=7300
120,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=36505 Win=36500 Len=0
121,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=39425 Win=33580 Len=0
122,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=42345 Win=30660 Len=0
123,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=45265 Win=27740 Len=0
124,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=48185 Win=24820 Len=0
125,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=51105 Win=21900 Len=0
