PID	Date	Src	SrcPort	Dest	DestPort	caplen	len	hex
39	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	129	129	000c29b3354c000c29957b74080045000073d48e40004006dd09c0a803cdc0a803cfda2501bde94ee67ace9d0810801807be895200000101080a017f08bb000a42410000003bff534d422e000000001801280000000000000000000000000008d74a0108bc880aff00000001408701000077ff77ffffffffff0000000000000000
40	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	267	267	000c29957b74000c29b3354c0800450000fd09ce400080066740c0a803cfc0a803cd01bdda25ce9d0810e94ee6b98018f812058100000101080a000a4241017f08bb000000c5ff534d422e000000009801280000000000000000000000000008d74a0108bc880cff00000000000000000089003c00000000000000000000008a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
41	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	162	162	000c29b3354c000c29957b74080045000094d48f40004006dce7c0a803cdc0a803cfda2501bde94ee6b9ce9d08d980180845897300000101080a017f08bd000a42410000005cff534d42a2000000001801280000000000000000000000000008d74a0108bc8818ff000000000800160000000000000000000002000000000000000000000000070000000100000000000000020000000009005c42524f5753455200
42	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	205	205	000c29957b74000c29b3354c0800450000bf09cf40008006677dc0a803cfc0a803cd01bdda25ce9d08d9e94ee7198018f7b2ec4700000101080a000a4242017f08bd00000087ff534d42a2000000009801280000000000000000000000000008d74a0108bc882aff00870000024001000000000000000000000000000000000000000000000000000000000000000000000080000000001000000000000000000000000000000200ff05000000000000000000000000000000000000000000000000009b0112009b0112000000
43	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	687	687	000c29b3354c000c29957b740800450002a1d49040004006dad9c0a803cdc0a803cfda2501bde94ee719ce9d0964801808cc8b8000000101080a017f08bf000a424200000269ff534d422f000000001801280000000000000000000000000008d74a0108bc880eff0000000240cd030000ffffffff08002a0200002a023f00000000002a0205000b03100000002c02000000000000d016d016000000000c00000000000100e63af85518aa01d374ad76cec80bf9e102000200045d888aeb1cc9119fe808002b1048600200000001000100f4d68c7ba380a224d2440b9ee03af61b03000300045d888aeb1cc9119fe808002b104860020000000200010042104fd3ea723e17d5234bf83195d94b00000300045d888aeb1cc9119fe808002b104860020000000300010070ac7e60e92a738315608c90b010050100000200045d888aeb1cc9119fe808002b1048600200000004000100c8647af78c3ae1344f6d01dd0e3e85a600000000045d888aeb1cc9119fe808002b1048600200000005000100a3c312c31c4c993e8051d6e43067b44b04000000045d888aeb1cc9119fe808002b1048600200000006000100419a2784d82cb31f958e6dfd15293ade00000000045d888aeb1cc9119fe808002b10486002000000070001000a6a7cd8618a8efe4eda58cef9e3b21f01000300045d888aeb1cc9119fe808002b10486002000000080001005e1eb2d80021d7b93eb02250b45cee2e05000100045d888aeb1cc9119fe808002b10486002000000090001002eb793d15d02e8a37e6334453421f4db01000000045d888aeb1cc9119fe808002b104860020000000a0001004d5f43766126738428e7735237598c6f04000300045d888aeb1cc9119fe808002b104860020000000b000100c84f324b7016d30112785a47bf6ee18803000000045d888aeb1cc9119fe808002b1048600200
44	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	117	117	000c29957b74000c29b3354c08004500006709d04000800667d4c0a803cfc0a803cd01bdda25ce9d0964e94ee9868018f545094a00000101080a000a4242017f08bf0000002fff534d422f000000009801280000000000000000000000000008d74a0108bc8806ff002f002a02ffff000000000000
45	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	66	66	000c29b3354c000c29957b74080045000034d49140004006dd45c0a803cdc0a803cfda2501bde94ee986ce9d0997801008cc891300000101080a017f08c9000a4242
46	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	135	135	000c29b3354c000c29957b74080045000079d49240004006dcffc0a803cdc0a803cfda2501bde94ee986ce9d0997801808cc895800000101080a017f08d6000a424200000041ff534d422f000000001801280000000000000000000000000008d74a0108bc880eff00000002406e000000ffffffff08000200000002003f000000000002000000
47	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	117	117	000c29957b74000c29b3354c08004500006709d14000800667d3c0a803cfc0a803cd01bdda25ce9d0997e94ee9cb8018faf0053800000101080a000a4242017f08d60000002fff534d422f000000009801280000000000000000000000000008d74a0108bc8806ff002f000200ffff000000000000
48	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	66	66	000c29b3354c000c29957b74080045000034d49340004006dd43c0a803cdc0a803cfda2501bde94ee9cbce9d09ca801008cc891300000101080a017f08d6000a4242
49	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	129	129	000c29b3354c000c29957b74080045000073d49440004006dd03c0a803cdc0a803cfda2501bde94ee9cbce9d09ca801808cc895200000101080a017f08d7000a42420000003bff534d422e000000001801280000000000000000000000000008d74a0108bc880aff00000002402501000001010101ffffffff0000000000000000
